Juan-Perez,24567898,12 10 1980,Medellin,3003233234,juanperez@edl.edu.co,kr74 4T-35 Boston Medellin null null
Diego-Palacio,34568910,20 12 1979,Envigado,3013234567,diegopalacio@edl.edu.co, cll65 3-29
Camila-Jimenez,2345902,15 09 1985,Cali,3003234567,camilajimenez@edl.edu.co,tr45 4S-73 Poblado Medellin null null
Pedro-Gomez,1075689,20 02 1990,Popayan,3003012323,pedrogomez@edl.edu.co, kr23
Tatiana-Ramirez,2345934,15 11 1982,Medellin,3004567890,tatianaramirez@edl.edu.co,cll5 4S-69 Poblado Medellin UrbColina 1023
x-z,1,01 01 2001,M,1,ja@gmail.com,2
y-a,2,02 02 2002,A,2,je@gmail.com,2
toño,45,24 05 2007,Medellín,44455788565,toño@gmail.com,ahsdfklfshdfjk
Soto,777,1 de enero,medellin,1234567890,soto@gmail.com,calle 1 numero 11
1,1,1,1,1,1,1
2,2,2,2,2,2,2
jose,564738,22/6/6,Cordoba,8675689,calle 23,jose@gmail.com
